grid_id,grid_lat,grid_lon,road_length_2018_m,road_length_2025_m,road_count_2018,road_count_2025,building_count_2018,building_count_2025,connectivity_2018,connectivity_2025,completeness_delta,has_new_infra,related_poc_ids
GRID-0000,10.7745,106.66965,19242.93,23963.1,162,280,22,372,4.037,3.4679,0.197,False,
GRID-0001,10.7745,106.67895,28341.87,33887.0,318,412,20,217,4.283,4.3738,0.1636,False,
GRID-0002,10.7745,106.68825,28110.52,26890.67,244,323,22,434,4.1148,3.9567,-0.0454,True,['POC-001']
GRID-0003,10.7745,106.69755,17303.14,26859.35,92,309,128,407,5.4457,4.9903,0.3558,True,['POC-001']
GRID-0004,10.7745,106.70685,14930.17,15365.12,69,139,90,177,5.942,5.0791,0.0283,True,['POC-001']
GRID-0005,10.7745,106.71615,10029.95,15386.02,20,98,8,15,7.5,6.7959,0.3481,True,"['POC-001', 'POC-010', 'POC-014']"
GRID-0006,10.7745,106.72545,13440.39,20329.46,41,130,7,48,5.5854,5.1846,0.3389,True,"['POC-001', 'POC-009', 'POC-010', 'POC-011', 'POC-014']"
GRID-0007,10.7745,106.73475,3405.41,6124.93,8,28,1,1,7.0,5.8214,0.444,True,['POC-009']
GRID-0008,10.7745,106.74405,4017.17,5472.29,15,25,9,25,7.3333,11.08,0.2659,True,['POC-009']
GRID-0009,10.7745,106.75335,16627.33,21390.39,58,115,6,54,5.569,5.2348,0.2227,True,['POC-009']
GRID-0010,10.7745,106.76265,14989.03,5961.64,27,43,2,23,7.9259,4.1395,-1.5142,True,['POC-009']
GRID-0100,10.7835,106.66965,29061.78,33121.46,262,442,11,123,5.0802,4.3778,0.1226,False,
GRID-0101,10.7835,106.67895,19128.92,31039.01,158,403,19,162,4.5886,4.5161,0.3837,False,
GRID-0102,10.7835,106.68825,17055.31,22973.38,95,215,27,639,4.6421,4.2,0.2576,True,['POC-001']
GRID-0103,10.7835,106.69755,15715.7,19281.48,62,211,143,403,5.4355,4.0521,0.1849,True,['POC-001']
GRID-0104,10.7835,106.70685,11823.47,20997.75,58,214,179,247,5.5345,5.0,0.4369,True,"['POC-001', 'POC-010', 'POC-014']"
