od_id,origin_name,dest_name,expected_quadrant,status_2018,time_s_2018,distance_km_2018,status_2025,time_s_2025,distance_km_2025,delta_time_s,delta_distance_km,pct_time,pct_distance,error_2018,error_2025,shape_2018,shape_2025
OD-001,Bến Nhà Rồng (D4),Khu đô thị Sala (Thủ Thiêm),Q1_DATA,ok,365.8,4.516,ok,428.8,5.398,63.0,0.882,17.22,19.53,,,q`lpSmewojEg@h[nFBfFHl@cZnBy~@XuBj@mB`AwAzA_AvIfEpIpBdI`CrDvAbDzAxCvBnBxAbAzA|@~Aj@~AdMl]CeImDw`@wCgJy@yBgAgA_B}@uHsBkIkBcUiEeIq@_EZ}FlBeMi@iO[sFKwOq@aTgAkaB}GsBIqd@iBsLImXs@iMs@yZeAoHT{Ea@wKMuHy@m]uE{XwDkI}A}CUiFi@oBWyl@eKgh@iJoa@oJgc@yGkGqAcZaFgBa@qDo@iEzA{VlXoSzT_DhD}JtKmd@bh@mD_CuD_IeVcSm}AcqAsNyK}IiHqGyDoHwDqHsC_OmFcKcDkC_A{EIeI}BqWaIwTeHus@oS{_@wKeHyB_GgC{DcB{DkCyFoEoFcFgFmFqDgFiC{EwD{G}CkGaCmHm@}BsAaHq@_Fk@eFQoFImIRiJHsGxAqDfPefB~Iep@pCqGh@cJFw@`@uKCoKWuHm@{JsAoIoAsFiAwCsEsNwBeIoFyKoO__@cEmJqDgGsDkF}BqB}D}E{EwDeDeCyHuDiR}HkDmA]MwJwAuHs@cA?mB_MwFu_@CkD?iEl@qDhAoDfJ}QlR{^pDyDbOkNzv@gt@lAo@h@On@Ir@?n@Ll@Tt@`@_CoIa]eh@,m_lpSkewojEQdLYfM`EBbGBVeMfBqiARsMbERlExDrGrA`G~@xE`A|E|AbEjBzDnC|ClDvBrEvHvXrCvBJgEyEgc@wCgJy@yBgAgA_B}@uHsBkIkBoW}EmC]_D?kDf@cDfAy@XqYqAygBoGaRy@kZcAuqAgEsEQkFMyAGiPg@{@GiBAyKq@aFW_K{@kBOgL_ByGgAyQyCkHmAaZyEer@mLcE`@_COoGy@oT_Ey^yGiRuDwRoDcASuE{@c`@eHqC[iC?_DLyBZaD~@cEhBcDpD{MbOm@p@q@r@_h@nk@}LzQqBz@cBTaBG_Bs@gVkSarAyfA_CoBsFoEaJqHkN_LqGyDoHwDqHsC_OmFaCw@qEoAwKeBeI}BqWaIwTeHus@oS{_@wKeHyB_GgC{DcB{DkCyFoEoFcFgFmFqDgFiC{EwD{GwBkEe@_AaCmHo@cCqA{Gq@_Fk@eFQoFImIRiJHsGxAqDzPyfBpCmT`DeVk@cMjA{XAiOw@iOw@mGcB_HgBoGiCmHsNk^oEmLyIgTwE}HeDeEcEiEgGmF{FcEkGcDqF}BoH}B_IeByIoAqHo@aRWwIKwoBU{m@MmOIqNU{L_AuFw@eF_A}GqBeFkBuHuEeGsE}F}EsFiFyFiG_@g@`CcBjc@a[tAkCQyEzBSpg@a^nR}NlKeHbc@qYROfFyBrCkB`E_C~f@aFbVaD~GZpG^dXdGhFx@xB\`Bz@h@u@~ReZ~Ug^xNgU`F~CzFlDfGlEzGhFxA{BzAwB
OD-002,Q1 Tôn Đức Thắng,Thủ Thiêm R1 Boulevard,Q1_DATA,ok,210.9,2.487,ok,225.5,2.964,14.6,0.477,6.92,19.18,,,q|bqSiutojEdRkUv^ob@}{@ov@`a@}c@cDkCmD_CuD_IeVcSm}AcqAsNyK}IiHqGyDoHwDqHsC_OmFcKcDkC_A{EIeI}BqWaIwTeHus@oS{_@wKeHyB_GgC{DcB{DkCyFoEoFcFgFmFqDgFiC{EwD{G}CkGaCmHm@}BsAaHq@_Fk@eFQoFImIRiJHsGxAqDfPefB~Iep@pCqGh@cJFw@`@uKCoKWuHm@{JsAoIoAsFiAwCsEsNwBeIoFyKoO__@cEmJqDgGsDkF}BqBldAsk@b|@ci@aM_^wCaGwCyE,qscqSy{tojEnPlOx[{^y|@qw@|\e`@`_@cb@fCcBzCsB`MaNlBwB|BeDhs@ow@tAaBBeAGeAa@qAw@qAmAiAuAu@yA]gAIkAD{MbOm@p@q@r@_h@nk@}LzQqBz@cBTaBG_Bs@gVkSarAyfA_CoBsFoEaJqHkN_LqGyDoHwDqHsC_OmFaCw@qEoAwKeBeI}BqWaIwTeHus@oS{_@wKeHyB_GgC{DcB{DkCyFoEoFcFgFmFqDgFiC{EwD{GwBkEe@_AaCmHo@cCqA{Gq@_Fk@eFQoFImIRiJHsGxAqDzPyfBpCmT`DeVfBgE`AgEh@cJFw@`@uKCoKWuHm@{JsAoIoAsFfAqELoEh@aFnAiExAqBbEeDdD{BfQ}IpC{AhPsHh\gOt@[rCkAZM~FoCtC_BvAmB`@aD@iDk@eCcCgCuAi@gCMbAgDmFoRmGeT_N{_@aM_^wCaGwCyE
OD-003,Chợ Bến Thành,Ga Rạch Chiếc (Thủ Đức),Q1_DATA,ok,787.4,11.991,ok,811.6,13.96,24.2,1.969,3.07,16.42,,,eumpSe{iojEjBbB`EfCtDrAzDPrAExAGbBYdBe@dBaApAsAjAmDZ_CHyBAsAw@aFm@gBw@gBu@{@k@cAw@i@qBsAcFwA{Di@_EDoAL}U_OoDkDsKgK_p@un@}DmD__Agx@yCvAyC`A_Cv@ab@xNSHkCfA{LtEiRtFmgAp^afAmdAqPcOa^m[w[mYsjA}cAg{AcsA}{@ov@`a@}c@cDkCmD_CuD_IeVcSm}AcqAsNyK}IiHqGyDoHwDqHsC_OmFcKcDkC_A{EIeI}BqWaIwTeHus@oS{_@wKeHyB_GgC{DcB{DkCyFoEoFcFgFmFqDgFiC{EwD{G}CkGaCmHm@}BsAaHq@_Fk@eFQoFImIRiJHsGxAqDfPefB~Iep@cAeIjA{XAiOw@iOw@mGcB_H}E}PkOy^mEcL}JgU}DkGaEqE{DcEyFsEsFwDiDsBkEuB_IkCwJgCeJ{AcHaAeK_@_cCq@_n@MmOIqNU{L_AuFw@eF_A}GqBqFiBsG{C{GgEyIuGm@e@kE{EsKkOlEoDie@}n@eN}P_E_@kUmXuDeD_EiFoBuD}@}AF_EuAwD^wNEmM}@sJm@{SoA{ToKgfAcNcnAeXozBaCwVwAcOaWcjC_KocAwKuaAFyIqEmZ{Icf@sD{UkDkGwDg^uXikCqSefB}JyaAe\y~CaK_cAeEyb@_Es^iCeSuAcTScS?iUx@gVHmIlAqIQ_Ii@kHeAyLcFyGuDqH}GkQeGqR[eH{DqSgEsZeC_EqDaUyIqh@oJ}_@eNic@e\ez@Q_FaFoDwNqW}LaSy\{f@oR{TaXuXoRuQg^uXaUoOsg@_ZmRgNg`@mQaH{Bqk@iRc`@kJaIX}\_H}[mE{e@_FkcA_K{sAeOa`AuLm`BcQq[sIgRyCkJgAuUuCuy@aJgk@g`@cqAmx@ug@e_@sYsSiKqHkAq@kMiHk@WiN_HmFe@iGm@k_@eBuCMyE[{\uBoEYuKq@mCQeU}@sp@yDuQsEgUeM{LwK{\kc@c^o_@aZk^m]cb@oAiBcZqb@gj@kn@sk@st@}P_NgLwJqV}KeXuIeVsBu^cEdPmFvLmFzR}P`@GyAuEgHqO,cvmpSwviojEvGpMDfCRbBVdBbXxy@lDjFfBrFlDhLjDbL|FjR~N`f@d@xAvPjj@vArEdBvFlA~DbLsFv`@cRjCmAxEuBxAaAxFyC~b@_UnQoIlCUvBkBv@{@|@{@~Cu@bB{@tBcA~]oQjLeGbCyAdDyA~[sOtFmCbFaCjKyG|TqKxDsBjDgB~BoA~BmAzC_BxBqA~EIxIeCxDmBjVyLrQyIjLmGxBmA|@cApC{BnF_F}HiKoAaB}AsB{MiUmNuW}Vq_@sOa\oAoE}FmIeD_GyH{K{FwHcIkIqIgHeHiFaIuEkIeE_Q{HmQcIsIaEgIiFoDsD}GmF_GaGqIcLkGqHkGuIwGiIoF{J_GoLoEuKeEiLeEuNmD{NeCcN}A{Le{@csIqKifA}PkdBeEcb@oDc^mHmt@s@sL_@aMq@mNmEs`@FaK{E}_@u@kF{AqI}Isf@iKaj@oKoj@wSc~@m[agAyJwZeOyd@wFgOuDaKyBcGgAuCoDcK}b@gcAiXap@wt@_hBwOq_@uEqL}A_EiB{EmDmJuEmL_i@wjAm`By~DukAmuCeeBu`EgVom@k]y{@iCkG_FiLiFkMsD_JglCorGuFaNsLmYwcAidCeFaMaV{k@aP}Z_Us`@gImWiNsRaDoEkBeCwB}BcCoBwCkBaDyAyQ_IqJcEaH}CkFgC_Bo@oFgCmEsBaXoJyVoGmVy@kXwC{h@qFaG}@_GiA{FsAwF_BeDgAeDmA{@S}@KwAAuALyJzA{SjDsFiEuCmByCeBgDiBqDyAaD_Aw@QkBc@iDg@gQaBuh@eFeKcAi]gDcI_AuH}@cLqAid@j@w}@yIs{@kImkAuLuJcAsFk@cwAoO{d@mFkb@qEqa@yEm`@aFgH}@aBYajAqRiqAqTm\kHuKcC_JwEoIuBgJiEs@e@mP{K{Ke@udAed@wcAyZkXeGul@eJghA{LmrFel@upBsW}DyAyJaAwe@iGyB}AeH_AsEa@yB^{f@aFaMoA}x@mIuf@iGea@eH{`@}HeEy@uD}@yEeAiB_@iHMiL{CqBm@gCu@}SgHy[sK}GuCkOkKsvA_q@cRyIgLoFuGaD_GoCsE{BiGuCoHiDmwCyqAqrEkwB{iCqnAiBeGyEoBlDgH`AqBfBaDtAcCpBkCbCiCt@w@~NiMdB}BdA_A~E_EbFiDxHiDbLyCzBYpDWvc@rBdZn@`LEvM}@hLcDzC{@jLeGnS_OrBo@iCyFiBcEmFgK
OD-004,Thủ Thiêm R1 (west),Thủ Thiêm R1 (east),Q1_DATA,ok,368.4,3.89,ok,360.3,4.181,-8.1,0.291,-2.2,7.48,,,amlqS_sjpjEbBv^lQhK{NlX_DrGgIhK}G~KaFzCqGf@wAYeJuAkJkBwH}As[}LmXyNa`Bgx@|KuNjFc@x`@kb@xOaPpByBjDuDfGwFhI{G~NqLpZyNlSgIfgAie@ra@gQpsCsoAp_Bus@zkAeh@vm@qXdDmFiAmCgEgKmt@yfB{[_v@a\mv@cL_V_K{W}AsDsZas@a_BetDaScEgg@{EaTmBeUeC}y@cHe@zJp_@vC~[tCzHr@qQv]sYpa@_NjRgMxMeBhBkYbUa^d\mPu_@cC{B??,sllqS{pjpjElCtZhQjLkOdVwFvJiCbEiCdE}G~KaFzCqGf@wAYeJuAkJkBwH}As[}LmXyNyMwG{NiHpQq\x@sFK_DmGwIwDuI{AeI]sBYmBmLoIxOaPpByBpAwA|GwGbA}@hHuGtJgJnAIhAc@x@{@b@kAbXsK|uAql@vD_Bra@gQpsCsoAfaBat@dc@qRrFaCxDeBbEmBjD}AfD{Avh@aVbHaDtFiC|HoDz^_PfGmChg@yTbPqGzNaGvCaAtCcAVGzH}By@aGcBoLuCyUiJcv@oEo[gLuy@_HcWyGsViTwh@mBwBgBw@uCKuCj@ywAbm@uq@jYye@dScKkU}AsDuOm^}IsSeLyW}cAq`CeB}DvAw@jAcA`AqAp@{A^aBPgBAgBQgBe@eBu@_BgAqAsAeA_Bs@eB_@kBOkBDiBXcBj@wAz@mAlAmBVyAJyA@iBI}BSyKcAw`AgIiv@yGe@tHmC~EsGpLoNzUk_@r_@wVrP??
OD-005,Phú Mỹ Hưng (Q7),Nhà Bè center,Q1_DATA,ok,423.7,5.714,ok,400.7,6.829,-23.0,1.115,-5.43,19.51,,,ce|mSawtpjElEeCoE}HiKqShM}G{@cB~W{Mf`Aof@`VwMjEaCr_@gSd}@wf@z~@sf@vi@eYxpAwo@tiAym@vjA}m@`GwCnaAeh@lbAsh@bcA_i@xbAqh@fw@cb@`l@oZ|G_DljAkl@~R_QlEoCdFyFtNkEblGkYhBMnzA{Inh@}CxzBwMz@hPlAzStB|^bAdQtCdd@hApT`A~YbDdc@bE`h@\rJjBfRnFn[bE~RvI|`@xm@hoBjDtR_@hO{A~Xi@bKs@xMq@vDjAlRzB~MhG`PxMbZh`@fx@pUzf@dXnh@zRnRdHjDhN|B~XzEp\~Exe@hFtq@hIfx@~J|RzC`^`FfOpE|@`GkD~Eo]|HqQvErGxUfm@qPtbAsN,id|mSgvtpjEk^fRgCmDiNwNqC}CwCeD_FeE{Av@gFhCaJ|EuH~DiCrA~E`FhCtCjp@ft@tBrChBdCpJ`NzBdDxBvD~CnFxBbE`AhB|@nBfDjHzDdJtDvI`DfI`C~GhB~F~Iv\n@|Cn@xCn@fDdAfGxApJ|AfMdBnP|@zLXdFNvEJjGLrH`D`wCF~EBxCBhCpApnBl@fdBDfFD|E?xGhAp~ABnDB`D_G]@`DlCnuCZbs@DvIpAdsAhAxnADpEBlCDnDfi@i@fFqC|^iDx`@|LtaA}FdzCeSfl@sD|RmA|a@{Cj`@wD~FoAtFkAfBVfBCv@Qj@OjAm@pDg@t@Kra@_Hvh@eM|IcC~GuBjo@qWtk@c[xSeMt^qTpv@ch@~B{A`WgPvMuIdZeShDyBd]wU|~@ik@|TmN`}@am@xo@cd@zJaHdXuQ|EkCfKqHlWeSp`Acm@pRcMbS{MpCmBnnDeaCxY{Rxi@y^tNkJjgAqs@fSuMvlAmw@bl@u`@l~@qn@|GeDxf@}Ztf@uThSkIlReHv\oLbKmDzn@gMdy@sNdGgA
OD-006,Bình Thạnh - Nguyễn Hữu Cảnh,Q1 - Nguyễn Bỉnh Khiêm,Q1_DATA,ok,178.0,1.998,ok,163.3,1.684,-14.7,-0.314,-8.26,-15.72,,,aauqSodapjEzJrBdJxBeFz\qBnKqD~CgElR_B|CaHpQiNp[qFnKYh@uHhQ_AnFoBjCdPxMpaAt~@|SbSzIrIvJlJtNhN`ZvXrVfU`~@hz@fZfXhPlNh^`\pPjOh[hYbDtC\\f`@p_@vMlMxVpUvT~RtNdMrQzOrBwBaa@g^oTcScWsV_UgT_Z{XzFc@hP}QpAyAlAuA,gfuqSm_apjEkArD_AxD`D`@x@k@xDr@lOdCgFxZeBxAkAdAuGvVuJ`VuDnI}DbJWj@[t@oO~^}BpGcBbBrPbObaAt}@xXxV`FxE|CxC`IvHjIrHj]t[pAnAjRfQr\`[vRnQfMlLtAaBza@sd@bo@_s@lCdCfD|ChUfTd`@j^t[dZzUtTvApAnCjCoAvCqEhFY~CoAtAgQhR{A`BaChCmOtPhAfA`DzC
OD-007,Q7 Nguyễn Văn Linh (west),Q7 Nguyễn Hữu Thọ,Q1_DATA,ok,246.7,3.874,ok,202.0,3.367,-44.7,-0.507,-18.12,-13.09,,,ezcnS{hmojEgS[_n@eEMhBtm@xEnShAxXDpQUbBBbN]v_@}Bxf@oDrNcAvqAoJdKo@`bAgGfEWhE[d[oB?qD_CqiDq@wnBkA_kBmAwmB_IevK}Dan@qTmlAkb@oiAmO{YuXmb@at@oy@eDqEyKnFqJjF}FjCkEzBvG~E|b@rf@tR~WfSpYrJfSnTdg@lSbn@`FbZrD~ZtBtY`@vPkIbIwBtE,mzcnS_hmojE_Sw@_n@eEMhBtm@xE|R~@jYNlFEfCC~ECrDCnCG^AR?rAEb@Cnc@sCte@cDzOcApJq@`hAwHzdAcHfEYfEEfi@i@AoD?oCq@ihBYgu@GiIeAmlBmAgdBC{BAoBCoCwA{}AAwECaGsFACgFeDyqECuDGaEAqCgBslDo@wOa@mGg@uGkAcKmCeR{A{Jy@sE{BuLgA{Eq@gCaAiDeQki@sIkVeHqP{AmDu@gBwW~M{EdCoDjB|@nBpKvUhCzGlBrFpBrFhBrFtBzGbBlGrAnFv@rDXnAbBdIhAxGbA~F|AxKbArIn@`G`@rFr@rKh@rJ_B`DuJzR
OD-008,Gò Vấp - Nguyễn Kiệm,Phú Nhuận - Hoàng Minh Giám,Q1_DATA,ok,388.1,3.281,ok,214.5,1.125,-173.6,-2.156,-44.73,-65.71,,,sbqrSyc{mjEi]~g@ka@zl@`p@zd@rnBhuAtu@fi@xl@pc@faArp@~~AvfAzDgCfEArGfA_@|D_BtDySnc@_OpU_OnZ}A`DkFjMksA`jCjQxMru@jt@hVvU`HvArFMtAi@vAoAnBiFvBg`@`@mAHoBhMy}CX}FvFilAfAgSr@sMrAiWnBoQJwDn@iVVeDb@uNn@eUxDk~@vFusAl@kNpD_}@RuGuDM]vKiClo@,sbqrSyc{mjEi]~g@po@vd@zq@pf@r|@~n@rr@bg@fo@nd@`_@ai@xWy`@xK`IfDNn@JfX|Jbk@fBdIV`AoYXiHp@uQ
OD-009,Quận 12 - An Sương,Hóc Môn - QL22,Q1_DATA,ok,207.9,1.995,ok,232.1,2.217,24.2,0.222,11.64,11.13,,,or}vSoxckjE_i@xTiR~HuEnFaGvNiLnUuKnO_LlJcOv@yNUeIJuGtCeSiLmfB{aAoIiImnClj@yUnLpEdTfh@vv@zD|FnAbI{@dFaf@vdAm]du@iUlg@{y@j}CaWbv@iTtd@,sa}vSavbkjEfNeCtIwBlG}AvA]kIgTSyFZ{EeFIaFJkMjDgx@t\iR~H_BvAm@t@}A~CqBlEeM`WaT`ZqFtEcOv@qMaBgBSeGjBeH|DwE_D}KqHkHaEaJeF_[yQgJoFqHmEsKaGgO_K{OgK}QfF{qB`a@_IxCgDbBeAp@wInEgAj@rDpSxCjGtb@pj@bAfDnCnEnAbI{@dFi[no@eJfR{M~[cHrMkMvZ}LfX{@zCiVl}@kWv`AyGrVgEbOcg@`mA
OD-010,Thủ Đức - Đỗ Xuân Hợp,Thủ Đức - Long Phước,Q1_DATA,ok,386.5,3.777,ok,370.9,3.917,-15.6,0.14,-4.04,3.71,,,{istS}sitjEIeC}FgDX{ZiM{N~PiLrItLpKvShGxL`JbGvEg@z^oMlDoCzYiU`X}NtCk@xFoAbWn@hM{@~HmAnImYbNkYnN}LhLuCxJq@|]mBtu@}BdWqT|ToNjBiBpFqFdLuOfJ_FbAo@pEgDnAe@|OeBr^eAhEFzf@GnLf@nC`@h_@fNfJhDr@Lj@JjeBsqHhUeNvHoGjIaFbRb@bn@jQvBbEncJifGrFeEkEwGyqF}jI,q~rtS_|itjEbN}FfBi@rBbDhCnBhJ_BdPuF`FeBjK}FtImG|M{JbX{OxB}@tC{@rDW~HH~Pt@xDKtCk@~CoBxA_C`LoXjEwJ~EuHvHsHhHsEbEiAdIq@b^uBhEYxTgAnPq@dG_@|E{BnOwIvBkA`YkS|FkIdFqG~DcG`HiGzF}BjC}@rFaAhIm@lFGdEGrFGrGGtKMjb@e@bI^zFh@dMtEbQtG|JvFdMa_@nL_`@tUy_AtJcd@`DwP`Iqb@dQe_Ar@{DvAoJhIcMnF{DfRqKfHeDbD]pC[`CA|BBtBRfCf@pl@fS|C@jiAkt@v[cThh@m]hcEyoCl@qFlEoCxFoDeMyRwc@}q@yAuB{L{QgB{CaIoMcIqL_HwKyIyM_]ci@mEqGiDmFwOsVqLyQsHuKu_@{k@cC}Dw@cA_JoMcOuTfbB}hAlo@_c@
