src,dst,time_s_2018,distance_km_2018,year,time_s_2025,distance_km_2025,delta_time_s,delta_distance_km,pct_time,pct_distance
1,1,0,0.0,2018,0,0.0,0,0.0,,
1,2,659,8.526,2018,575,7.967,-84,-0.5590000000000002,-12.746585735963581,-6.556415669716165
1,3,437,5.758,2018,361,4.944,-76,-0.8140000000000001,-17.391304347826086,-14.136853073984025
1,4,211,2.318,2018,189,2.317,-22,-0.0009999999999998899,-10.42654028436019,-0.043140638481444775
1,5,554,7.333,2018,387,4.839,-167,-2.4939999999999998,-30.144404332129966,-34.01063684712941
1,6,181,1.916,2018,179,1.931,-2,0.015000000000000124,-1.1049723756906076,0.7828810020876893
1,7,382,5.059,2018,384,5.185,2,0.12599999999999945,0.5235602094240838,2.490610792646757
1,8,407,5.673,2018,384,5.653,-23,-0.020000000000000462,-5.651105651105651,-0.35254715318174623
1,9,433,5.977,2018,334,4.607,-99,-1.37,-22.863741339491916,-22.921197925380625
1,10,655,9.989,2018,614,9.94,-41,-0.049000000000001265,-6.259541984732825,-0.49053959355292076
1,11,58,0.789,2018,60,0.791,2,0.0020000000000000018,3.4482758620689653,0.25348542458808637
1,12,401,5.141,2018,454,5.494,53,0.35299999999999976,13.216957605985039,6.866368410815012
1,13,176,2.008,2018,176,2.054,0,0.04599999999999982,0.0,2.290836653386445
1,14,666,9.973,2018,629,9.923,-37,-0.05000000000000071,-5.555555555555555,-0.5013536548681511
1,15,398,5.067,2018,358,5.086,-40,0.019000000000000128,-10.050251256281408,0.3749753305703597
1,16,754,9.679,2018,615,8.74,-139,-0.9390000000000001,-18.43501326259947,-9.701415435478872
1,17,482,6.197,2018,511,6.541,29,0.3440000000000003,6.016597510373444,5.551073099887047
1,18,438,5.773,2018,432,4.586,-6,-1.1869999999999994,-1.36986301369863,-20.561233327559318
1,19,97,1.089,2018,95,1.087,-2,-0.0020000000000000018,-2.0618556701030926,-0.18365472910927474
1,20,168,1.851,2018,160,1.801,-8,-0.050000000000000044,-4.761904761904762,-2.7012425715829305
1,21,138,1.46,2018,125,1.473,-13,0.013000000000000123,-9.420289855072465,0.890410958904118
1,22,269,3.134,2018,261,3.124,-8,-0.009999999999999787,-2.973977695167286,-0.319081046585826
1,23,82,0.829,2018,98,1.189,16,0.3600000000000001,19.51219512195122,43.425814234016904
1,24,754,11.452,2018,688,11.91,-66,0.4580000000000002,-8.753315649867375,3.99930143206427
1,25,489,6.308,2018,463,6.3,-26,-0.008000000000000007,-5.316973415132924,-0.12682308180088786
1,26,583,8.006,2018,502,7.082,-81,-0.9240000000000004,-13.893653516295027,-11.541343992005999
1,27,182,2.304,2018,207,2.619,25,0.3150000000000004,13.736263736263737,13.671875000000016
1,28,498,6.668,2018,484,6.681,-14,0.0129999999999999,-2.8112449799196786,0.1949610077984388
1,29,514,7.059,2018,455,6.813,-59,-0.24600000000000044,-11.478599221789883,-3.4849128771780764
1,30,246,2.746,2018,226,2.729,-20,-0.016999999999999904,-8.130081300813007,-0.619082301529494
1,31,87,1.072,2018,81,1.068,-6,-0.0040000000000000036,-6.896551724137931,-0.37313432835820926
1,32,747,11.65,2018,700,11.649,-47,-0.0010000000000012221,-6.291834002677376,-0.008583690987134953
1,33,357,4.656,2018,346,4.686,-11,0.03000000000000025,-3.081232492997199,0.6443298969072219
1,34,310,4.071,2018,302,3.466,-8,-0.6049999999999995,-2.5806451612903225,-14.861213461066066
1,35,478,6.684,2018,474,6.674,-4,-0.009999999999999787,-0.8368200836820083,-0.14961101137043367
1,36,52,0.467,2018,45,0.478,-7,0.010999999999999954,-13.461538461538462,2.3554603854389624
1,37,291,3.344,2018,275,3.348,-16,0.0040000000000000036,-5.498281786941581,0.11961722488038287
1,38,616,9.343,2018,581,8.505,-35,-0.8379999999999992,-5.681818181818182,-8.969281815262754
1,39,86,0.849,2018,86,1.032,0,0.18300000000000005,0.0,21.55477031802121
1,40,406,5.926,2018,404,5.917,-2,-0.009000000000000341,-0.49261083743842365,-0.15187310158623593
1,41,254,2.936,2018,252,3.135,-2,0.19899999999999984,-0.7874015748031495,6.7779291553133465
1,42,547,7.537,2018,474,6.674,-73,-0.8629999999999995,-13.345521023765997,-11.450179116359289
1,43,479,5.532,2018,558,7.53,79,1.9980000000000002,16.49269311064718,36.117136659436014
1,44,222,2.716,2018,224,2.711,2,-0.0050000000000003375,0.9009009009009009,-0.18409425625921713
1,45,507,6.59,2018,509,6.63,2,0.040000000000000036,0.39447731755424065,0.6069802731411235
1,46,384,5.25,2018,360,5.215,-24,-0.03500000000000014,-6.25,-0.6666666666666694
1,47,452,6.299,2018,454,6.116,2,-0.18300000000000072,0.4424778761061947,-2.905223051277992
